flow_psh,fpkts_per_second,total_bhlen,flow_iat_max,backward_packet_length_max,forward_iat_std,total_length_of_forward_packets,backward_packet_length_std,forward_iat_min,total_fhlen,total_length_of_backward_packets,total_backward_packets,forward_iat_max,forward_packet_length_mean,backward_iat_min,flow_iat_min,backward_packet_length_min,flow_syn,bpkts_per_second,flow_protocol,forward_iat_total,forward_packet_length_min,backward_iat_max,flow_iat_total,flow_urg,flow_fin,flow_ece,forward_packet_length_std,backward_packet_length_mean,flow_iat_std,flow_ack,backward_iat_total,backward_iat_mean,flow_rst,total_forward_packets,flow_packets_per_second,backward_iat_std,flow_cwr,forward_iat_mean,flow_iat_mean,forward_packet_length_max,reconnaissance,infection,action
0,3.0,75,0.001840353012084961,-1,0.0,174,-1,0.0009014606475830078,0,0,0,0.001840353012084961,58.0,-1,0.0009014606475830078,-1,3,0.0,6,0.0027418136596679688,58,-1,0.0027418136596679688,0,0,0,0.0,0,0.0,0,0,-1,0,3,3.0,-1,0,0.0,0.0,58,1,0,0
0,3.0,75,0.001840829849243164,-1,0.0,174,-1,0.0009007453918457031,0,0,0,0.001840829849243164,58.0,-1,0.0009007453918457031,-1,3,0.0,6,0.002741575241088867,58,-1,0.002741575241088867,0,0,0,0.0,0,0.0,0,0,-1,0,3,3.0,-1,0,0.0,0.0,58,1,0,0
0,3.0,75,0.0018420219421386719,-1,0.0,174,-1,0.0009019374847412109,0,0,0,0.0018420219421386719,58.0,-1,0.0009019374847412109,-1,3,0.0,6,0.002743959426879883,58,-1,0.002743959426879883,0,0,0,0.0,0,0.0,0,0,-1,0,3,3.0,-1,0,0.0,0.0,58,1,0,0
0,3.0,75,0.001842498779296875,-1,0.0,174,-1,0.0009024143218994141,0,0,0,0.001842498779296875,58.0,-1,0.0009024143218994141,-1,3,0.0,6,0.002744913101196289,58,-1,0.002744913101196289,0,0,0,0.0,0,0.0,0,0,-1,0,3,3.0,-1,0,0.0,0.0,58,1,0,0
0,3.0,75,0.0018422603607177734,-1,0.0,174,-1,0.0009026527404785156,0,0,0,0.0018422603607177734,58.0,-1,0.0009026527404785156,-1,3,0.0,6,0.002744913101196289,58,-1,0.002744913101196289,0,0,0,0.0,0,0.0,0,0,-1,0,3,3.0,-1,0,0.0,0.0,58,1,0,0
0,3.0,75,0.0018434524536132812,-1,0.0,174,-1,0.0009324550628662109,0,0,0,0.0018434524536132812,58.0,-1,0.0009324550628662109,-1,3,0.0,6,0.002775907516479492,58,-1,0.002775907516479492,0,0,0,0.0,0,0.0,0,0,-1,0,3,3.0,-1,0,0.0,0.0,58,1,0,0
0,3.0,75,0.0018434524536132812,-1,0.0,174,-1,0.0009315013885498047,0,0,0,0.0018434524536132812,58.0,-1,0.0009315013885498047,-1,3,0.0,6,0.002774953842163086,58,-1,0.002774953842163086,0,0,0,0.0,0,0.0,0,0,-1,0,3,3.0,-1,0,0.0,0.0,58,1,0,0
0,3.0,75,0.0018434524536132812,-1,0.0,174,-1,0.0009312629699707031,0,0,0,0.0018434524536132812,58.0,-1,0.0009312629699707031,-1,3,0.0,6,0.0027747154235839844,58,-1,0.0027747154235839844,0,0,0,0.0,0,0.0,0,0,-1,0,3,3.0,-1,0,0.0,0.0,58,1,0,0
0,3.0,75,0.0018436908721923828,-1,0.0,174,-1,0.0009317398071289062,0,0,0,0.0018436908721923828,58.0,-1,0.0009317398071289062,-1,3,0.0,6,0.002775430679321289,58,-1,0.002775430679321289,0,0,0,0.0,0,0.0,0,0,-1,0,3,3.0,-1,0,0.0,0.0,58,1,0,0
0,3.0,75,0.001844167709350586,-1,0.0,174,-1,0.0009324550628662109,0,0,0,0.001844167709350586,58.0,-1,0.0009324550628662109,-1,3,0.0,6,0.002776622772216797,58,-1,0.002776622772216797,0,0,0,0.0,0,0.0,0,0,-1,0,3,3.0,-1,0,0.0,0.0,58,1,0,0
